Date,Home,Away,Home_Score,Away_Score,Status,Home_ML,Away_ML,Home_Spread,Away_Spread,Total,game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,reason,active,athlete_jersey,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score,player_val,player_poss
10/30/2007,San Antonio Spurs,Portland Trail Blazers,106,97,,900,-1400,13,-13,189.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2007,Golden State Warriors,Utah Jazz,96,117,,100,-120,1,-1,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/30/2007,Los Angeles Lakers,Houston Rockets,93,95,,-230,190,-5,5,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Toronto Raptors,Philadelphia 76ers,106,97,,255,-305,6.5,-6.5,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Indiana Pacers,Washington Wizards,119,110,,-125,105,-1.5,1.5,203.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Orlando Magic,Milwaukee Bucks,102,83,,245,-295,6.5,-6.5,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Brooklyn Nets,Chicago Bulls,112,103,,105,-125,1.5,-1.5,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Cleveland Cavaliers,Dallas Mavericks,74,92,,-140,120,-2.5,2.5,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Memphis Grizzlies,San Antonio Spurs,101,104,,-250,210,-6.5,6.5,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,New Orleans Pelicans,Sacramento Kings,104,90,,425,-525,9.5,-9.5,190.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/31/2007,Denver Nuggets,Oklahoma City Thunder,120,103,,625,-825,11.5,-11.5,217.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2007,Miami Heat,Detroit Pistons,80,91,,-190,160,-4,4,178.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2007,Utah Jazz,Houston Rockets,95,106,,140,-160,3,-3,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2007,Oklahoma City Thunder,Phoenix Suns,99,106,,-725,575,-12,12,224.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Charlotte Hornets,Milwaukee Bucks,102,99,,150,-170,4,-4,196.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Orlando Magic,Detroit Pistons,92,116,,150,-170,4,-4,183.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Indiana Pacers,Miami Heat,87,85,,235,-275,6.5,-6.5,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Brooklyn Nets,Toronto Raptors,69,106,,155,-175,4,-4,193.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Atlanta Hawks,Dallas Mavericks,101,94,,-250,210,-5.5,5.5,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Cleveland Cavaliers,New York Knicks,110,106,,210,-250,6,-6,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2007,Boston Celtics,Washington Wizards,103,83,,285,-335,7.5,-7.5,205.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
