home,away,close_time,pre_close_mid
BOS,TOR,2025-10-10 23:49:38.818097+00:00,0.495
ORL,PHI,2025-10-10 23:49:38.868154+00:00,0.65
UTA,SAS,2025-10-11 02:55:20.161794+00:00,0.695
SAC,POR,2025-10-11 04:56:11.126916+00:00,0.575
OKC,IND,2025-10-12 01:49:31.558391+00:00,0.475
ATL,MEM,2025-10-12 02:35:27.912728+00:00,0.655
CHA,DAL,2025-10-12 02:56:08.283620+00:00,0.29
BKN,PHX,2025-10-12 14:29:42.338014+00:00,0.37
TOR,WAS,2025-10-12 21:41:25.548373+00:00,0.625
MIA,ORL,2025-10-13 01:14:57.148056+00:00,0.34
MIL,CHI,2025-10-13 01:34:29.974291+00:00,0.5
CLE,BOS,2025-10-13 01:50:47.721513+00:00,0.655
GSW,LAL,2025-10-13 03:52:42.612350+00:00,0.485
DEN,LAC,2025-10-13 04:06:41.871093+00:00,0.415
MIA,ATL,2025-10-14 01:20:29.279382+00:00,0.385
SAS,IND,2025-10-14 01:30:03.290966+00:00,0.57
WAS,NYK,2025-10-14 02:19:45.706275+00:00,0.625
DAL,UTA,2025-10-14 03:54:37.081354+00:00,0.585
DET,CLE,2025-10-15 01:49:45.414973+00:00,0.625
OKC,MIL,2025-10-15 02:44:51.972486+00:00,0.365
HOU,NOP,2025-10-15 02:54:40.354211+00:00,0.68
CHI,DEN,2025-10-15 04:19:42.721235+00:00,0.355
GSW,POR,2025-10-15 05:39:41.725303+00:00,0.535
LAL,PHX,2025-10-15 05:39:41.744106+00:00,0.785
MEM,CHA,2025-10-16 01:44:43.430948+00:00,0.575
TOR,BOS,2025-10-16 02:39:40.395082+00:00,0.61
WAS,DET,2025-10-17 01:45:04.748173+00:00,0.67
NOP,ORL,2025-10-17 01:49:57.289204+00:00,0.275
HOU,ATL,2025-10-17 02:19:49.153856+00:00,0.705
MIN,CHI,2025-10-17 02:44:47.986965+00:00,0.31
POR,UTA,2025-10-17 03:59:53.794785+00:00,0.585
MIN,PHI,2025-10-18 01:39:46.753546+00:00,0.325
BKN,TOR,2025-10-18 01:54:36.172467+00:00,0.325
CHA,NYK,2025-10-18 02:14:49.789209+00:00,0.325
DEN,OKC,2025-10-18 02:44:48.678022+00:00,0.265
MEM,MIA,2025-10-18 02:49:46.159288+00:00,0.41
IND,SAS,2025-10-18 02:59:54.295614+00:00,0.375
LAC,GSW,2025-10-18 04:49:38.198785+00:00,0.605
SAC,LAL,2025-10-18 05:19:40.286658+00:00,0.695
HOU,OKC,2025-10-22 03:19:37.795636+00:00,0.38
GSW,LAL,2025-10-22 04:59:50.457820+00:00,0.565
CLE,NYK,2025-10-23 02:00:23.367911+00:00,0.545
MIA,ORL,2025-10-23 02:00:23.968287+00:00,0.245
BKN,CHA,2025-10-23 02:00:23.999467+00:00,0.355
TOR,ATL,2025-10-23 02:29:59.450350+00:00,0.665
PHI,BOS,2025-10-23 02:30:05.063282+00:00,0.635
DET,CHI,2025-10-23 03:00:08.566459+00:00,0.405
WAS,MIL,2025-10-23 03:04:47.482443+00:00,0.795
NOP,MEM,2025-10-23 03:04:47.695764+00:00,0.615
LAC,UTA,2025-10-23 06:07:04.623075+00:00,0.795
SAS,DAL,2025-10-23 06:29:47.138180+00:00,0.56
SAC,PHX,2025-10-23 06:29:47.458822+00:00,0.605
MIN,POR,2025-10-23 06:29:47.781837+00:00,0.655
OKC,IND,2025-10-24 03:09:59.121008+00:00,0.31
DEN,GSW,2025-10-24 05:04:43.838283+00:00,0.495
MIL,TOR,2025-10-25 01:35:58.693331+00:00,0.475
ATL,ORL,2025-10-25 01:51:26.695989+00:00,0.335
BOS,NYK,2025-10-25 02:26:25.973002+00:00,0.385
MIA,MEM,2025-10-25 02:46:47.078156+00:00,0.575
CLE,BKN,2025-10-25 02:46:58.843658+00:00,0.155
DET,HOU,2025-10-25 03:17:11.890996+00:00,0.295
SAS,NOP,2025-10-25 03:32:12.042650+00:00,0.375
WAS,DAL,2025-10-25 03:36:16.124126+00:00,0.795
GSW,POR,2025-10-25 04:52:05.768602+00:00,0.59
UTA,SAC,2025-10-25 04:56:19.268320+00:00,0.655
MIN,LAL,2025-10-25 05:06:50.219976+00:00,0.465
PHX,LAC,2025-10-25 05:32:32.679611+00:00,0.775
CHI,ORL,2025-10-26 01:58:53.195366+00:00,0.325
OKC,ATL,2025-10-26 02:02:12.762059+00:00,0.245
IND,MEM,2025-10-26 02:42:30.464754+00:00,0.455
CHA,PHI,2025-10-26 02:45:06.551199+00:00,0.375
PHX,DEN,2025-10-26 04:17:22.460800+00:00,0.855
BKN,SAS,2025-10-26 20:56:05.131020+00:00,0.175
